Days to Deliver,Comments,Approved By,Manufacturer,Return Reason,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Discount,Region,Order Date,Ship Date
2,custmer didn't know item was in cart,R. Duchesne,Wilson Jones,Incorrect Product Ordered,5970,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.704,2,3.1552,0.2,West,20-07-2015,22-07-2015
2,customer didn't know item was in cart,R. Duchesne,Xerox,Incorrect Product Ordered,5971,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,19.92,4,9.7608,0,West,20-07-2015,22-07-2015
2,custmer didn't know item was in cart,R. Duchesne,Wilson Jones,Incorrect Product Ordered,5970,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.704,2,3.1552,0.2,West,20-07-2015,22-07-2015
2,customer didn't know item was in cart,R. Duchesne,Xerox,Incorrect Product Ordered,5971,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,19.92,4,9.7608,0,West,20-07-2015,22-07-2015
5,Customer tried to remove item before ordering,E Williams,Newell,Incorrect Product Ordered,19,CA-2015-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,2.4824,0,West,27-08-2015,01-09-2015
5,Customer tried to remove item before ordering,E Williams,Newell,Incorrect Product Ordered,19,CA-2015-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,2.4824,0,West,27-08-2015,01-09-2015
5,Customer tried to remove item before ordering,E Williams,Newell,Incorrect Product Ordered,19,CA-2015-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,2.4824,0,West,27-08-2015,01-09-2015
5,pencil holder was cracked on delivery,L Jenkins,Eldon,Defective,5738,CA-2015-148614,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,5.79,0,West,20-01-2015,25-01-2015
5,pencil holder was cracked on delivery,L Jenkins,Eldon,Defective,5738,CA-2015-148614,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,5.79,0,West,20-01-2015,25-01-2015
4,customer didn't know item was in cart,C Arnold,Sauder,Incorrect Product Ordered,1611,CA-2015-156349,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,90008,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,290.666,2,27.3568,0.15,West,26-05-2015,30-05-2015
4,customer didn't know item was in cart,C Arnold,Sauder,Incorrect Product Ordered,1611,CA-2015-156349,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,90008,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,290.666,2,27.3568,0.15,West,26-05-2015,30-05-2015
4,customer didn't know item was in cart,C Arnold,Sauder,Incorrect Product Ordered,1611,CA-2015-156349,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,90008,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,290.666,2,27.3568,0.15,West,26-05-2015,30-05-2015
2,Customer didn't realize item was still in cart.,M Gomez,Iris,Incorrect Product Ordered,4168,CA-2015-157924,First Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,31.92,4,8.2992,0,West,11-10-2015,13-10-2015
2,Customer didn't realize item was still in cart.,M Gomez,Iris,Incorrect Product Ordered,4168,CA-2015-157924,First Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,31.92,4,8.2992,0,West,11-10-2015,13-10-2015
3,,,Hon,General,1098,CA-2015-159338,First Class,NS-18640,Noel Staavos,Corporate,United States,Los Angeles,California,90049,FUR-TA-10004147,Furniture,Tables,Hon 4060 Series Tables,447.84,5,11.196,0.2,West,25-06-2015,28-06-2015
2,customer thought item was out of cart.,F Azad,Belkin,Incorrect Product Ordered,1984,CA-2015-164721,Second Class,LW-16825,Laurel Workman,Corporate,United States,Brentwood,California,94513,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,320.88,6,93.0552,0,West,25-11-2015,27-11-2015
2,customer thought item was out of cart.,F Azad,Belkin,Incorrect Product Ordered,1984,CA-2015-164721,Second Class,LW-16825,Laurel Workman,Corporate,United States,Brentwood,California,94513,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,320.88,6,93.0552,0,West,25-11-2015,27-11-2015
2,customer thought item was out of cart.,F Azad,Belkin,Incorrect Product Ordered,1984,CA-2015-164721,Second Class,LW-16825,Laurel Workman,Corporate,United States,Brentwood,California,94513,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,320.88,6,93.0552,0,West,25-11-2015,27-11-2015
6,only three chairs were delivered in package,M Gomez,Other,Defective,800,CA-2016-101910,Standard Class,CD-11920,Carlos Daly,Consumer,United States,Lake Elsinore,California,92530,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,5,17.745,0.2,West,27-11-2016,03-12-2016
1,,,Xerox,General,4719,CA-2016-109736,First Class,DJ-13420,Denny Joy,Corporate,United States,San Francisco,California,94109,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,45.36,7,21.7728,0,West,10-10-2016,11-10-2016
4,customer didn't want this anymore,F Azad,Staple-based wall hangings,General,6088,CA-2016-114048,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Costa Mesa,California,92627,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,29.22,3,12.8568,0,West,14-12-2016,18-12-2016
3,,,Avery,Defective,2250,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,4.176,0.2,West,15-02-2016,18-02-2016
3,Customer didn't realize item was in cart,M Gomez,Xerox,Incorrect Product Ordered,2252,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,9.3312,0,West,15-02-2016,18-02-2016
3,,,Avery,Defective,2250,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,4.176,0.2,West,15-02-2016,18-02-2016
3,Customer didn't realize item was in cart,M Gomez,Xerox,Incorrect Product Ordered,2252,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,9.3312,0,West,15-02-2016,18-02-2016
3,,,Avery,Defective,2250,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,4.176,0.2,West,15-02-2016,18-02-2016
3,Customer didn't realize item was in cart,M Gomez,Xerox,Incorrect Product Ordered,2252,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,9.3312,0,West,15-02-2016,18-02-2016
3,,,Avery,Defective,2250,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,4.176,0.2,West,15-02-2016,18-02-2016
3,Customer didn't realize item was in cart,M Gomez,Xerox,Incorrect Product Ordered,2252,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,9.3312,0,West,15-02-2016,18-02-2016
3,,,Avery,Defective,2250,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,11.52,5,4.176,0.2,West,15-02-2016,18-02-2016
3,Customer didn't realize item was in cart,M Gomez,Xerox,Incorrect Product Ordered,2252,CA-2016-116092,Second Class,JM-16195,Justin MacKendrick,Consumer,United States,Los Angeles,California,90004,OFF-PA-10000477,Office Supplies,Paper,Xerox 22,19.44,3,9.3312,0,West,15-02-2016,18-02-2016
4,Customer found his headset. No longer needs this item,L Jenkins,Other,No Longer Needed,4059,CA-2016-124058,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Oakland,California,94601,TEC-PH-10004774,Technology,Phones,Gear Head AU3700S Headset,72.744,7,-15.4581,0.2,West,20-11-2016,24-11-2016
4,Customer found his headset. No longer needs this item,L Jenkins,Other,No Longer Needed,4059,CA-2016-124058,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Oakland,California,94601,TEC-PH-10004774,Technology,Phones,Gear Head AU3700S Headset,72.744,7,-15.4581,0.2,West,20-11-2016,24-11-2016
5,,,Carina,No Longer Needed,4635,CA-2016-130456,Standard Class,DS-13180,David Smith,Corporate,United States,San Francisco,California,94122,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,80.98,1,3.2392,0,West,21-08-2016,26-08-2016
5,,,Carina,No Longer Needed,4635,CA-2016-130456,Standard Class,DS-13180,David Smith,Corporate,United States,San Francisco,California,94122,OFF-ST-10000736,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,80.98,1,3.2392,0,West,21-08-2016,26-08-2016
4,Customer found better deal elsewhere,M Gomez,Sauder,No Longer Needed,1763,CA-2016-130785,Standard Class,AG-10900,Arthur Gainer,Consumer,United States,San Diego,California,92105,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3,-20.6964,0.15,West,05-09-2016,09-09-2016
